original text,translation result
The northern domain comprises largely residual soils that effect more or less complete cover of the bedrock .,"

北方地区主要由残积土构成，覆盖了基岩的大部分区域。"
The preservation of what appears to be a residual profile is considered to be due to the barrier or watershed effect created by September 2006 to September 2007 the resistant Binneringie Dyke .,"

残余剖面的保存现象被认为是由于2006年9月至2007年9月期间形成的比内林吉基基屏障或分水岭效应所致。"
"This erosion has incised the regolith over extensive areas , exposing bedrock south of the dyke and generating a slightly undulating relief comprising hillocks and rises of outcrop separated by colluvium - filled swales .","

该侵蚀作用已将覆盖大面积区域的风化层切开，露出基岩南侧，并形成起伏不平的地形，由裸露的山包和露头山体构成，山包和露头山体之间由冲洪积平原形成的沟谷分隔开。"
"Nevertheless , the total lack of response over the sub outcropping areas in the south suggests an inherent lack of gold applies to that area .","

然而，南部亚热带地区基底冲洪积的总体无响应现象表明该区域存在金矿资源缺乏现象。"
"On this line 5 consecutive samples are above the limit of detection , peaking at 9 ppb gold .","

在这条线上，连续5个样品的检测值均超过检测限，最高值为9ppb的金。"
The auger lines covering the northernmost 800 m of the tenement peaked at 12 ppb gold .,"

钻沟线覆盖了十矿段最北端800米，最高金含量达到12ppb。"
In 2007 Rachael Finnigan formulated an amended proposal to the above comprising 480 auger samples which are to be analysed for gold and arsenic .,"

2007年，拉奇尔·芬尼根（Rachael Finnigan）根据上述内容，制定了一个修订后的提案，包括480份钻孔取样，用于分析金和砷。"
Geology of the Granite - Greenstone Terrane of the Lake Lefroy and Lake Cowan .,"

花岗岩-莱弗罗伊湖和考温湖绿岩带的地质"
P24 / 4074 is located approximately 60 kilometres north northwest of Kalgoorlie in the Broad Arrow Mineral Field of the Eastern Goldfields Region of Western Australia .,"

P24/4074位于大约60公里东北西北方向的西澳大利亚东黄金fields地区布伦特 arrow矿产区域。"
P24 / 4074 is located in the south western portion of the Eastern Goldfields Superterrane which comprises the eastern third of the Archaean Yilgarn Craton .,"

P24/4074 位于东黄金fields 超大陆的西南部分，该超大陆由古生代的 Yilgarn 内 cratons 的东方三分之一组成。"
Minara is to complete studies to determine the nickel sulphide prospectivity of the area and any future exploration requirements .,"

Minara将要完成研究，确定该区域的镍硫化物探矿潜力，以及未来任何进一步的勘探要求。"
"However , the nickel sulphide potential of the area is of renewed interest and previously suspended studies are to be resumed .","

然而，该地区镍硫化物的潜在引起了 renewed兴趣，之前暂停的研究将重新开始进行。"
P24 / 4074 lies in an area of extensive gold mineralisation and is considered to be predominantly prospective for this metal .,"

P24 / 4074 位于广泛分布的金矿化区域，并且主要具有这种金属的探矿潜力。"
This black shale is thought to be the source of the TEM conductor .,"

这黑色页岩被认为是TEM导电体的来源。"
No significant base metals were intersected .,未发现任何重要的贱金属。
The footwall sequence displays strong to intense sericite alteration with the hanging wall displaying no visible alteration .,"

地基序列显示强烈的至强的泥质交代，而悬壁没有可见的交代。"
Drilling intersected mafic volcanics in the footwall with a felsic volcanic sequence with thin chert bands overlain by mafic volcanics with siltstone and shale to the east .,"

钻孔相交于基性火山岩在冲裁带中，该冲裁带具有细粒花岗岩序列和薄片状角闪石层，其上覆盖有基性火山岩夹带片石和 shale，向东延伸。"
"Geochemistry for the section however indicated that the logged felsic volcanics , siltstone and shale are of mafic provenance .","

该区域的地球化学分析结果表明，风化花岗岩、粉质砂岩和页岩的记录来自基性岩源。"
Anomalous base metal and pathfinder geochemistry in 13BARB020 appears to be associated with the chert bands .,"

13BARB020 样品的异常基金属和寻路地球化学似乎与页岩带相关联。"
Anomalous base metals and pathfinders are within the shale and siltstone above an unaltered mafic thought to be a sill .,"

基金属异常和指示矿物存在于未变质的基性岩的页岩和砂岩上方，被判断为基性 sill。"
Drilling intersected mafic volcanics in the footwall of a felsic volcanic sequence and black shale overlain by mafic volcanics .,"

钻孔在基性岩系基底上穿孔岩层，并被基性岩覆盖黑色页岩层。"
The footwall sequence displays strong to intense sericite and hematite alteration with the hanging wall displaying no visible alteration .,"

地基序列显示强到很强的sericite和hematite交代，而悬壁没有明显的交代。"
The black shale has anomalous base metal and pathfinder geochemistry in 13BARB026 and anomalous .,"

黑色页岩在13BARB026样品中表现出异常基金属和指示剂地球化学特征。"
The black shale is thought to be the source of the TEM conductor .,"

黑色页岩被认为是 TEM 导体的来源。"
All the drilling on this section displays moderate to strong sericite alteration .,"

钻孔在此段显示中等至强正长石-方解石 alteration。"
"The source of the conductor is unexplained though if the pervasive iron alteration is weathered sulphides which is possible , may be enough to be the source of the conductor .","

导体的来源尚不明确，尽管如果广泛存在的铁交代物是风化硫化物，这可能是导体的来源。"
No significant base metals were intersected .,"

没有发现显著金属。"
Drilling intersected mafic volcanics in the footwall with some chlorite alteration .,"

钻孔穿透了基底岩层中的中酸性火山岩，伴随部分氯铁矿石的氧化。"
The lack of sericite alteration and any geochemical anomaly may indicate that the mafic intersected may be a single or series of intrusive rocks .,"

由于没有 sericite 的改变，以及任何 geochemical 异常，可能表明，与 mafic 相交的岩石可能是单一的或一系列的侵入岩。"
"The tenements occur within the Gindalbie Terrane of the Norseman Wiluna Belt , located in the Eastern Goldfield Province of the southeast Yilgarn Craton .","

盖内布里盖岩石系的诺斯卡布-威尔诺娜带内，矿物结核发生。位于中生代二叠纪-三叠纪 Yilgarn 脊柱的东南部地区。"
The Gindalbie Terrane is consists of three recognisable greenstone sequences separated by low angle thrust faults .,"

盖纳比尔地层单元由三个可识别的绿岩层组成，这三个绿岩层之间被低角度推移断层分隔开。"
"The lower most sequence comprises a calc - alkaline complex overlain by fine - grained sedimentary rocks characterised by a bi - modal volcanic sequence including basalt , andesite and dacitic lavas interbedded with siltstones and tuffs and intruded by mafic intrusives .","

最下面的层由钙-alkaline岩系覆盖的细粒沉积岩组成，这些沉积岩具有双峰火山系列（包括玄武岩型、安山岩型和dacitic岩型火山）夹层砂岩和火山岩，并被基性侵入体侵入。"
"The lower - most succession is structurally overlain by komatiite from the Bulong Volcanic Complex , with intercalated felsic tuff horizons that may represent Kalgoorlie Terrane sequences .","

最下部的次生岩层结构上覆盖博尔ong火山岩系的 komatiite，夹有 felsic 火山岩层，可能代表 Kalgoorlie 大陆 crust 序列。"
The shales are generally highly anomalous in pathfinders .,"

页岩通常高度异常。"
All samples were dispatched to Genalysis in Kalgoorlie for analysis with preparation by pulverising to 85 % passing 75 m .,"

所有样品均被送往 Kalgoorlie 进行分析，样品经过 85% 筛分至 75 米的粉磨处理。"
Fine anhedral carbonate forms an integral part of the assemblage .,"

细粒致密角质岩构成岩石组合的重要组成部分。"
Fine anhedral magnetite is dispersed through the matrix .,"

微粒细的非双晶磁铁矿分散于基质中。"
Regionally deformed and possibly altered ( Fe chlorite sericite carbonate ) felsic tuff to intermediate tuff .,"

区域变形的（含FeCl2·SiO2·CO3）角闪石岩至中性岩。"
The fine grained matrix comprises fibrous to platy Fe chlorite to minor secondary biotite plus subordinate muscovite paralleling a penetrative schistosity .,"

细粒矩阵由纤维状到平的Fe二当质、少量次生生物石英以及次级滑石并行于穿透性的片层组成。"
Fine patchy carbonate is distributed through the matrix and has locally replaced the feldspathic component .,"

细碎片状碳酸盐岩贯穿于矩阵中，并局部取代了feldspathic成分。"
Fine grained magnetite aggregates or clusters have been attenuated parallel to the foliation and may represent a relict skeletal phase .,"

微粒级的磁铁矿石颗粒或聚集体沿层理方向减弱，可能代表骨架遗迹阶段。"
Enigmatic fine equant to rhomb - shaped limonite replicas are distributed through the matrix and coexist with carbonate supporting a possible sulphide precursor .,"

神秘的细近似球形菱形的似似铁矿石复制品均匀分布在矩阵中，并与碳酸盐并存，支撑可能的硫化物前体。"
Regionally deformed and possibly altered ( Fe chlorite to secondary biotite muscovite carbonate ) micro quartz diorite .,"

区域变形的、可能变质的（Fe二当转换为次级生物石英片碳酸镁）微小角闪石英岩。"
Fine lathlike plagioclase ( pl ) and interstitial quartz ( Q ) occurs in a fibrous chlorite ( chl ) matrix .,"

细菱石丝晶(pl)和间晶石英(Q)夹在纤维状的黄铁矿(chl)之中。"
Fine limonite ( lm ) replicas are dispersed through the matrix and are interpreted to have replaced original sulphides .,"

微粒级似酸性铁矿（lm）分散于矩阵中，被解释为取代了原有的硫化物。"
Portions of the matrix have preserved a fine to medium grained texture comprising lathlike plagioclase associated with quartz and locally developing feathery granophyric textures .,"

岩石基质的部分具有细到中粒度的颗粒结构，包含与 quartz 结合的基性长石晶片，以及局部发育的羽状晶片状结构。"
"Skeletal leucoxene , after original magnetite , has also been preserved in the matrix that has been overprinted by a series of shears dominated by oriented schlieren of platy Mg chlorite and fine subhedral epidote .","

骨架轻玉髓在经过一系列由板状Mg二价氯石和细亚基超石的定向剪切作用形成的覆盖层中，也保存了下来。"
The intermediate host has been brittle fractured and progressively replaced by platy Mg chlorite associated with anhedral carbonate and anhedral to subhedral epidote aggregates .,"

次级中间体已发生脆性断裂，并逐渐被具有斜长石和斜长石至亚斜长石多孔石英的片状Mg氯石取代。"
Brittle / ductile sheared and altered ( Mg chlorite epidote carbonate ) micro quartz granophyric diorite .,"

韧性分类型的剪切和改化的(Mg二当ium方解石碳酸盐)微粒石英片状火成岩。"
"Relict skeletal leucoxene ( lx ) , after original magnetite , occurs in a sheared quartz diorite host preserving minor quartz ( Q ) .","

残余骨架型白云母（lx），在原有的 magnetite 之后，在被剪切的 quartz diorite 主体中保存少量 quartz（Q）发生。"
"Chlorite ( chl ) schlieren parallels the foliation and the matrix has been altered to carbonate ( carb ) , epidote ( ep ) and Mg chlorite .","

正石英(chl)的 schlieren 平行于层理，而矩阵已被改造为碳酸盐(carb)、 epidote 和 Mg 正石英。"
Fine residual leucoxene has been preserved in the matrix and would appear to reflect a relict fabric .,"

经过仔细研究，我们发现，这些岩石中存在大量细小的次生氧化物，这些次生氧化物可能与地质历史中的某些特定事件有关。"
Trace limonite aggregates also occur in the matrix .,"

零星的角铁矿石聚集物也出现在矩阵中。"
A series of quartz veins cutting the matrix comprise anhedral quartz dusted by stress - induced fluid inclusion trains and locally developing deformation textures confirming ongoing tectonism of the siliceous host .,"

一系列脉状quartz贯穿于基质中，由无水quartz和由应力引起液inclusion带覆盖，并局部形成变形结构，证实了硅质岩石中持续的构造活动。"
The matrix appears to have been pervasively altered to fibrous biotite and sericite and has been penetrated by clay in the weathering profile .,"

矩阵似乎普遍地发生改变，变为纤维状的生物石英和泥石，并被风化截面所透入的粘土所侵入。"
"Fine grained magnetite , exhibiting fine elongate forms , exhibit a similar trachytic texture in the matrix .","

细粒磁铁矿具有细长形的形态，具有相似的裂解结构，在基质中。"
Clay weathered and altered ( sericite - biotite ) porphyritic andesite to trachyandesite .,"

页岩质交代型页岩质基性岩石经风化作用形成页岩质变质型基性岩石。"
Sample 881919 Lathlike plagioclase ( pl ) phenocrysts occur in a fine grained matrix preserving fine lathlike to microlitic plagioclase exhibiting a trachytic texture .,"

样品号 881919，碱性白云母片状晶（pl）出现在细粒状矩阵中，保存了细片状到微碎片状碱性白云母，呈现出斜长石的结构。"
The matrix appears to have been pervasively altered to fibrous biotite ( bt ) and sericite ( ser ) .,"

该矩阵似乎广泛地被改成了纤维状生物石英（bt）和泥石（ser）。"
The plagioclase phenocrysts have been incipiently sericitised ( ser ) .,"

斜长石晶片初步变质石英。"
The clasts have been pervasively altered to secondary microcrystalline quartz and fibrous sericite .,"

岩石片广泛地改性为次生微晶质 Quartz和纤维状的泥。"
"The altered host has preserved equant to tabular plagioclase - albite in an altered matrix comprising fibrous or shredded sericite , secondary biotite and Fe / Mg chlorite .","

变质亲石体中含有等轴至表形石英-斜长石，其中变质矩阵由纤维状或破碎的伊利石、次生 biotite 和 Fe/Mg 铁锰云母组成。"
Portions of the matrix are dominated by Fe / Mg chlorite and scaly secondary biotite .,"

矩阵中的某些部分由氧化铁/氧化镁二质体和次生角闪石主导。"
Patchy limonite aggregates may have replaced original carbonate .,"

多块状的白垩石质可能已替代了原有的碳酸盐。"
Amygdales in the matrix have been infilled by secondary quartz .,"

在矩阵中的青玉被次生青玉填充。"
"Fine , equant and elongate opaques magnetite are distributed through the altered matrix .","

细粒、近球形和拉长的不透明矿物磁铁矿贯穿于变质基质中。"
Trace goethite replicas after original sulphides .,"

角铁复制品在原生硫化物之后。"
"The matrix is dominated by carbonate , locally exhibiting typical rhomb textured cleavage , and has been progressively replaced by limonite .","

矩阵以碳酸盐为主，局部呈典型菱形晶面解理特征，并逐渐被绿藻石取代。"
Secondary potash feldspar has been preserved possibly in original cavities that have been infilled by carbonate .,"

次级钾长石可能保存下来，是在这些原始空洞中，这些空洞已被碳酸盐填充。"
Additional alteration phases in the matrix include scaly sericite and microcrystalline quartz aggregates .,"

在矩阵中，额外的改变化期包括角闪石和微晶质石英集合物。"
The altered matrix has been cut by a series of anastomosing quartz veins that have been cut by late carbonate veining .,蚀变岩基质被一系列网状石英脉切割，而这些石英脉又被晚期碳酸盐脉切割。
A possible cavity within a volcanic top host comprises secondary potash feldspar infilled by carbonate that has been progressively replaced by limonite ( lm ) .,"

可能岩腔内，火山岩顶部可能包含次级钾型斜长石，这些斜长石逐渐被绿泥石取代填充。"
Cleavage traces have been preserved in the weathered carbonate phase .,"

节理线在风化碳酸盐岩相中得以保存。"
