original text,translation result
2.沉积层序分析根据沉积环境、沉积结构及海平面变化情况，将确哈拉群划分为2个三级层序（图2-48），归1个超层序。,"2.Sequence stratigraphic analysis, based on depositional environment, sedimentary structures, and sea-level changes, divided the Charahar Group into two third-order sequences (Figure 2-48), which together constitute one supersequence."
因热液型黄铁矿化不均匀，因此，Cu、Pb、Zn矿化亦不均匀了，表现为Cu、Pb、Zn含量普遍低且矿化不均匀，因此该矿床的成因类型为沉积－热液改造型。,"Due to the uneven distribution of hydrothermal-type pyrite mineralization, the Cu, Pb, and Zn mineralization is also irregular, characterized by generally low metal contents and discontinuous enrichment. Therefore, the deposit is classified as a sedimentary–hydrothermal alteration type."
爆发相与溢流相的岩石相互交替产出，环绕火口分布，其岩性主要为流纹质火山角砾岩、流纹质角砾凝灰岩。,"The explosive phase and overflow phase rocks alternately produce, with the rock types primarily consisting of rhyolitic volcanic breccia and rhyolitic tuff breccia, and are distributed around the tuyau."
中－晚石炭世测区同样处于暴露环境，仅中石炭世接受台地－局限台地相生物灰岩和白云岩沉积（大浦组和黄龙组浅海碳酸盐岩）。,"The exposure environment of the Mid- and Late Carboniferous (Carboniferous) remains consistent, with only the Middle Carboniferous stage (Middle Carboniferous) depositing biogenic limestone and dolomite from the limiter-limited shelf of the limiter-limited shelf faces (Daipu Group and Huanglong Group shallow marine carbonate sedimentary rocks)."
由于该图解没有考虑到黑云母和石榴石中其他成分对Mg—Fe分配的影响，实际变质温度不一定是此数。,"Due to this graphical solution not taking into account the influence of other components in biotite and garnet on the Mg—Fe distribution, the actual metamorphic temperature may not necessarily be this number."
眼球状条带状中性火山质糜棱岩：碎斑结构，基质为鳞片粒状变晶结构，眼球状条带状构造。,"Eyelike strip-like neutral volcanic mylonite: crackling pips structure, matrix of scale grain-structured and partially melted, eyelike strip-like structure."
1979年省物探队在鄂南地区开展1∶10万区域重力测量，为确定本区地质构造格架和深大断裂破碎带的位置、形态提供了依据。,"In 1979, the provincial geological survey team conducted a 1:100,000 regional gravity survey in the Southern Hubei region to determine the position and morphological characteristics of geological structural framework and deep major fracture zones in the area."
锡矿床的分布，主要位于信宜贵子—钱排一带云开群变质地层区，著名的锡矿床有信宜银岩斑岩型锡矿。,"The distribution of tin ore deposits is primarily located in the Yunkai Group metamorphic rock units of the Qiguzi–Qianpa area, with famous tin ore deposits including the Xinyi quartz-diorite porphyry type tin deposit."
调查区本组属滨浅海相、局部河流相沉积环境，其特征有：?.岩石发育交错层理、斜层理，表现出三角洲相的沉积特点。,"The geological characteristics of the study area include: item ?. The rocks exhibit herringbone cross-bedding and fold structures, indicating the depositional features of a triangular landform deposit."
局部地方异源碎屑较多，可变成复成分火山角砾岩，异源碎屑主要为砂岩、泥岩。,"In the local area, extrusive fragments are relatively abundant, which can form composite volcanic angular breccia. The extrusive fragments are mainly composed of sandstone and mudstone."
⒈地质特征该花岗岩出露在图区北侧的巴颜喀拉山群中，集中分布在地仁、角考和日勤一带，其中地仁、角考、日勤一带的岩体呈小岩基、岩株产出。,"The geological characteristics of the granite are exposed in the northern part of the Bayan Har Mountains formation within the study area, concentrated mainly in the areas near Dieren, Jiaokao, and Riqin. The rock masses in these areas consist of small rock masses and rock masses producing."
缅切英云闪长岩（T3δi）：岩性为灰白色片麻状中细粒英云闪长岩，灰白色－浅灰绿色，糜棱结构，变余中细粒花岗结构，片麻状构造。,"Mianqie brecciated tonalite（T3δi）：The lithology is gray-white brecciated tonalite with intermediate grain and textured structure, gray-white to light gray-green, mylonitic texture, intermediate grain granoblastic texture, and gneissic structure."
依据蛇绿岩组合、岛弧型火山岩等分析认为测区通天河复合蛇绿混杂岩带具有独特的地质意义。,"Based on the analysis of ophiolite suite and arc-type volcanic rocks, it is believed that the Tongtian River ophiolitic mélange belt in the study area has unique geological significance."
上部基本层序由A：深灰色薄－中厚层瘤状生物屑灰岩，B：薄层泥质灰岩组成（图2-21），A层向上单层变薄，B层局部含碳质，向上泥质含量增高，为退积型基本层序。,"The upper basic succession consists of A: deep-gray shallow-to-thick layer nodular bioclastic limestone and B: thin layer argillaceous limestone (Figure 2-21). A layer thins upward as a single layer, while B layer locally contains carbon, with silt content increasing upward, indicating a retrogradational basic succession."
其中①带相当于李四光的Mα带和贵州西部威宁组的第二带，即原小纺锤蜓带；②和③带与Mβ带及威宁组的第三个化石带即小纺锤蜓-纺锤蜓带相当。,"① equivalent to the M-alpha zone of Li Si-gong and the second zone of the Guizhou western Weining group, i.e., the mini-sphenoid zone; ② and ③ zones are equivalent to the M-beta zone and the third fossil zone of the Weining group, i.e., the mini-sphenoid-oophene zone."
早期断裂包括北北西向、近南北向及北东向三组，均系成矿前生成，以重晶石化硅化带形式出现。,"Early faults consist of three groups: northeast-trending, north-south trending, and northwest-trending. All were formed prior to mineralization and appear as quartzite with baritization in a silicified band."
厚18.18米9.紫红色薄层微晶白云岩，微晶结构，薄层状构造，刀砍纹发育，局部可见斜层理构造、晶洞构造，具水平层理，单层厚1-5cm。,"18.18 meters thick, rose-brown, thin-layered microcrystalline dolomite with textured microcrystalline structure, thin-layered constructive features, developed crack patterns, local evidence of angular unconformities and voids, with horizontal bedding, single-layer thickness of 1–5 cm."
英安岩岩屑0.2～1.2mm，火山角砾2～5mm，泥岩0.5～1mm，个别可达2.4mm，多已变成绢云母，石英多数为0.05mm±为粉砂，少数0.1～0.5mm为晶屑。,"Dacitic rock fragments 0.2–1.2 mm, volcanic angular fragments 2–5 mm, mudstones 0.5–1 mm, some reach up to 2.4 mm and have become sericite, quartz mostly 0.05 mm as fine sand, a few 0.1–0.5 mm as crystalline fragments."
按岩性特征、区域对比定为公安寨组，为一套紫红色内陆湖盆相碎屑沉积，与下伏地层的接触关系为角度不整合接触。,"Based on rock characteristics and regional comparisons, the Gong'anzhai Group has been defined as a suite of purple-red fluvial-depositary succession of inland lake sediments, with an angular unconformity contact relationship to the underlying geological layers."
（三）地层含矿性黄龙组灰岩，质纯，分布广泛，层位稳定，CaO含量大于54%，可作为冶金溶剂及水泥原料。,"(3) The bedded mineralized Huanglong Group limestone is pure, widely distributed, has stable stratigraphic position, with CaO content greater than 54%, and can be used as a raw material for metallurgical slurry and cement."
2.火山喷发旋回(1)韵律划分多尼组的地层结构为火山岩与沉积岩互层类型，火山喷发方式，喷发强度的变化，均能反映其韵律特征。,"2.Volcanic Ash Flow Layers (1) The geological structure of the Dunie group is characterized by alternating volcanic rocks and sedimentary rocks. The types and intensities of volcanic eruptions, as well as changes in eruption intensity, can all reflect its rhythmic characteristics."
本次调查划分的岩石地层单位有3个群44个组及8个非正式地层单位，而第四系按成因类型划分为2个填图单位。,"The investigation identified 3 geological groups, 44 sections, and 8 non-official geological units, with the Quaternary divided into 2 mapping units based on causal types."
生物屑成份为钙质，其种类以棘皮类（海百合茎）和介形虫为主，次为藻迹，含少量的腕足类和有孔虫类碎片。,"The mineral composition of the detrital matter is calcium-rich. The dominant types are the order Actinopora, specifically the sistracaula rhizomes of Ceretophyllia, and Ceretophyllia. Followed by algal traces, with minor contributions from chitons and nematocysts fragments."
3、大寺组火山岩除Pb、Zn、Ba、As、Sb、Bi、Hg、W、Mo略高外，其他元素平均含量均低于地壳克拉克值，而介于全球中性与酸性岩平均含量之间（更接近酸性岩）。,"

3. The3rd volcanic rock of Dashi group shows slightly higher content for Pb, Zn, Ba, As, Sb, Bi, Hg, W, and Mo compared to the average value of elements in the Earth's crust. The average content of other elements lies between the average contents of neutral and acidic rocks (closer to acidic rocks)."
构造上分布在西金乌兰－金沙江结合带以南，澜沧江结合带以北的杂多晚古生代活动陆缘构造带中。,"Constructively distributed within the zone south of the Xigunula-Jingjiang amalgamation zone and north of the Lanjiang amalgamation zone, which is characterized by active margin tectonics during the Late Paleozoic Era."
奥长石：自形宽板状、等轴状，聚片双晶发育，环带构造，An35，Ng＇=1.5402-1.552，Np＇=1.5303-1.5457，粒径0.54-0.84mm，少数1.5mm，具不同程度的绢云母化、高岭石化、褐铁矿化。,"

Orthoclase: Tabular, equant, well-developed twin-crystalline aggregates, ring zone structure, An35, Ng’=1.5402–1.552, Np’=1.5303–1.5457, grain size 0.54–0.84 mm, few exceeding 1.5 mm, associated with varying degrees of mica lineation, ilmenite diagenesis, and goethite mineralization."
（2）岩石化学特征岩石中SiO2含量75.64%，K2O+Na2O为8.51%，里特曼指数δ为2.22，其过铝指数A/NKC=1.02，CIPW标准矿物中出现刚玉，属铝过饱和类型钙碱性岩石系列。,"Within the CIPW standard minerals, the presence of corundum indicates an aluminum over-saturated type calcium alkaline series."
侯增谦（2004）认为35Ma前青藏地区曾有抬升，但高度很有限，总的高度在2000m以下，因为棕榈和榕树的化石表明当时为湿热的气候条件。,"

Qingtian Region  thought 35 million years ago, there was a uplift in the area, but the height was limited, with total elevation below 2000 meters, as evidenced by palm and fig tree fossils indicating wet and warm climatic conditions at the time."
火山通道相平面上呈椭园状，剖面上呈漏斗状，火山充填物为角砾集块岩、集块岩。,"

On the horizontal plane, the volcanic channel profile is elliptical, while on the section, the volcanic channel is conical. The volcanic fill consists of Breccia agglomerate and agglomerate."
6、探槽2069立方米7、1∶5万高精度磁测面积309平方千米（成矿远景区全部涵盖）8、激电中间梯度装置剖面12.2千米，激电测深点131个。,"

6、Drainage area of 2,069 cubic meters 
7、A high-precision magnetic survey area of 309 square kilometers (all areas of the far mineralization景区 are covered) at a scale of 1:50,000 
8、The profile of the intermediate gradient device is 12.2 kilometers, with 131 depth measurement points."
调查区地震活动具有频率高、裂度小、震源浅（5~10km）、有感性强、空间分布不均和强弱交替的特点。,"

The seismic activity in the survey area has a high frequency, small magnitude, shallow hypocenter (5~10 km), is strongly felt, and exhibits spatially heterogeneous distribution with magnitude-dependent characteristics."
昂杰组以粉砂岩和粉砂质泥岩为主夹砂岩，砂岩成熟度较高，分选良好，粒径以0.03～0.06mm为主。,"Jiangjia Group consists mainly of fine sandstone and fine sandy mudstone interbedded with sandstone, with fine sandstone having high diagenesis, well-separated, and grain sizes primarily in the range of 0.03 to 0.06 mm."
粘土化绢云母化辉石安山岩：浅紫色或灰紫色，斑状结构，块状构造，基质具变余玻晶交织结构，岩石由斑晶和基质两部分组成。,"Clay-altered, sericitized pyroxene andesite: light lavender or grayish-purplish with textural structure and blocky texture the matrix consists of a mosaic of altered quartz and the rock comprises two components: sericite and matrix."
燕山运动晚期产生北东、北北东向压扭性断裂及北西、北西西向张扭性断裂。,"The late stage of the Yanshan movement resulted in NE- and NNE-trending transpressional faults, as well as NW- and WNW-trending transtensional faults."
调查区信都组的砂岩分选性、磨圆度较好，反映岩石成分成熟度高，发育水平层理、平行层理、粒序层理等。,"The sorting and roundness of sandstone in the Xinduogou Group in the survey area are relatively good, indicating a high degree of compositional maturity, with well-developed horizontal bedding, parallel lamination, and graded bedding."
(2)正常火山碎屑岩亚类可分为普通火山碎屑岩和熔结火山碎屑岩两大类型。,"(2) Normal pyroclastic rock subtypes can be divided into ordinary pyroclastic rock and welded pyroclastic rock, comprising two major types."
再如，北西向的筋竹断裂（F3）及其旁侧的同方向小断裂，对矿产有一定的控制作用。,"For example, the northwest-oriented fault (F3) and its adjacent small faults in the same direction have a certain control effect on mineralization."
岩类的划分与镜下鉴定结果有一定的差别，可能与含水量及其他因素有关。,"

The classification of rock types differs from the microscopic identification results, which may be influenced by factors such as water content and other conditions."
表明矿化晚于砾岩，在四个连续拣块样中，铜品位最高达11.28%，最低为o.6%，同时伴生铅，锌，铅最高晶位o.16%，而锌的品位高于3%的有3个，最低是0.42%。,"To indicate that metalliferous occurred later than conglomerate. In four consecutive sample blocks, the copper grade reached a maximum of 11.28% and a minimum of 0.6%. Additionally, it was accompanied by lead and zinc, with the highest oxide content of lead being 0.16%, while zinc exceeded 3% in three samples, with a minimum grade of 0.42%."
1:20万罗定幅在罗定围底圩、岑溪县大湴圩各测制一条剖面，测得三丫组一段厚度为134.9m、117m。,"A 1:200,000 scale survey was conducted in Luoqing Town, Wudie Vutong, Cenxi County, and Da Ching Vutong, each measuring a profile section. Thickness of a segment of the Third Group was measured as 134.9 meters and 117 meters respectively."
陈国隆、陈楚震（1990年）将马福宝等的东茅组下部层位改为东茅群，其上的碎屑岩称结扎群A组。,Chen Guolong and Chen Chuzhen (1990) renamed the lower section of Ma Fubao’s Dongmao Group as the Dongmao Formation and referred to the overlying clastic rocks as Jieza Group A.
糜棱面理总体倾向西，倾角40~80°，这些糜棱岩带为深层次的走滑韧性剪切变形带。,"The mylonitic foliation has a general trend of westward, with an inclination of 40° to 80°, and these mylonite zones are characterized by deep-seated ductile shear deformation."
晚三叠世查涌蛇绿岩岩石组合为蛇纹石化辉石橄榄岩、辉石岩、辉长岩、辉长辉绿岩脉、枕状玄武岩和硅质岩等。,"The geological rock combination of the Triassic period in Cheonghe is composed of serpentinized pyroxene peridotite, pyroxenite, gabbro, gabbro-diabase dikes, pillow basalt, and siliceous rock."
石英粉砂呈不规则粒状；胶结物已全部变成了鳞片状绿泥石，不均匀定向分布；微量矿物白钛石呈土状，不均匀散布。,The quartz powder-sand is irregularly nodular; the matrix has been entirely transformed into scaly chlorite with non-uniform and directed distribution; the trace mineral leucoxene is in a clay-like state and non-uniformly dispersed.
上部为黄色砂土、砂质粘土、粘土，部分可见砾石层、含砾粗砂层呈透镜状出现，表层多为腐植土。,"The upper part consists of yellow sand silt, silt loam, and clay. Part of a gravel layer and a gravelly coarse sand layer appear in a lens-shaped distribution. The upper part is rich in detritus."
表明岩石形成于较强应力和较高温度的条件下，应为区域动力热流变质作用。,"Indicates that rocks form under conditions of high stress and high temperatures, which result from regional dynamic thermomechanical metamorphism."
⑷喜山期侵入岩分布区在喜山期侵入岩及其周边地区有为数众多的矿（化）总和类型钼铜矿床在这一地区重砂矿物种类繁多，含量较高。,"Distribution area of intrusives during the Xishan period has numerous mineralization types, specifically molybdenum-copper deposits, in the region and its surrounding areas. Heavy sand mineral types are numerous and abundant in this region."
第二章地层测区地层主要由成层有序的地层为主，占测区总面积百分之九十以上，构造-岩石地层很少。,"Chapter 2: The geological survey area is primarily composed of layered and orderly layers, accounting for more than 90% of the total area of the survey area. Few tectono-stratigraphic units are present."
5．崩塌见于调查区低山丘陵区、台地边缘、河岸、坝体和路堑，坍塌规模一般较小。,"Landslides are observed in the low mountain and hilly investigation area, the edge of flat areas, riverbanks, embankments, and road cuts. The scale of the landslides is generally small."
（五）矿产资源远景评价金、铜多金属矿化赋存在K1d2（安山岩）中的次生石英岩带内。,(5) Mineral resource potential evaluation: gold and copper multi-metallic sulfide mineralization exists within the secondary quartzite zone of K1d2 (andesite).
(3)火山沉积碎屑岩亚类又可分为沉积火山碎屑岩和火山碎屑沉积岩两大类，区内多尼组中以沉积火山碎屑为主。,"(3) The subtypes of volcanic sedimentary rocks can be further divided into two major types: sedimentary volcaniclastic rock and volcaniclastic sedimentary rock. Within the Dunhuang Group, the deposits of sedimentary volcaniclastic rock dominate."
三、成矿流体盐度、密度和压力表5-5表明，金牛火山岩盆地成矿流体盐度（wt%）为2.0-17，大部分为6左右；密度0.9-0.927g/cm2。,"Three, the salinity, density, and pressure of the mineral fluid in the Jinniu volcanic rock basin are shown in table 5-5. The salinity (wt%) of the mineral fluid ranges from 2.0 to 17, with most values around 6; the density is 0.9–0.927 g/cm3."
岩石的CIPW标准矿物含量Q-Ab-Or三角图解及Ca-Na-K原子数三角图解中，投点均落在岩浆花岗岩投影点等密线区及其附近。,"In the Q-Ab-Or triangle diagram and Ca-Na-K atom number triangle diagram of standard mineral content of QIPW (SMC_QIPW), all plotted points fall within the isochromic zone and its adjacent areas corresponding to igneous granite projection points."
岩性为以灰、黄白及青灰色砾岩、砂砾岩、石英砂岩及含砾千枚岩为主夹泥质粉砂岩，局部夹灰岩透镜体。,"The rock type consists mainly of grey, yellow and white, greyish, and quartz sandstone, and gravel-bearing slate, all interbedded with muddy siltstone, locally including limestone lenses."
本次工作依据地质构造单元及填图单位的划分需要，新建立的该岩石地层单位。,"This work is based on the division of geological structural units and mapping units, establishing a new lithostratigraphic unit."
全新世早期（10.4－7.5Ka.B.P）气候转暖，湖相地层沉积于末次冰期的冰碛物之上，进入全新世中期（7.5－3.5Ka.B.P），青藏高原为大暖期，气候温暖湿润。,"During the Early Holocene (10.4–7.5 ka B.P.), the climate warmed, with lake deposits forming on the glacial deposits of the last ice period. By the Mid-Holocene (7.5–3.5 ka B.P.), the Qinghai-Tibet Plateau experienced a major warm period, characterized by a warm and humid climate."
岩性为中厚层状中细粒石英砂岩、含砾不等粒石英杂砂岩夹薄层状泥质粉砂岩、粉砂质泥岩。,"The rock type consists of medium to thick-bedded medium-fine grained quartz sandstone, interbedded with gravel-bearing poorly sorted quartz arenite, and thin-bedded muddy siltstone and silty mudstone."
3、在2-12线的160-200点处，异常曲线呈长轴椭圆状，南东走向，长度500米，平均宽度200米，极值区的ηs值为3%。,"

3. Along the 2-12 line between points 160 and 200, the anomalous curve exhibits a long-axis elliptical shape trending southeast, with a length of 500 meters and an average width of 200 meters. The ηs value of the extreme zone is 3%."
综上所述，结合火山岩组的岩石化学、地球化学特征，晚二叠世－早三叠世火山岩属陆内伸展环境的产物。,"Summarizing, the Late Permian to Early Triassic volcanic rocks are products of the intracontinental extension environment, based on the combined analysis of the rock chemical and earth chemical characteristics of the volcanic formation."
第二节白垩纪火山岩调查区的火山喷出岩发育较差，仅见于中生代的早白垩世西垌组，为一套碱性—中酸性的火山岩组合，总面积约76km2。,"Section 2 The volcanic rocks in the survey area of the Cretaceous were poorly developed, only found in the Early Cretaceous Xigong Formation of the Mesozoic, representing a series of alkaline to intermediate-acid volcanic rock types with a total area of approximately 76 km2."
湖北省大冶市西畈李二叠系梁山组－大隆组实测地层剖面（图2-16）未见顶大隆组（P3d）27.灰黑色水云母粘土岩夹灰色硅质页岩。,"Hubei Province, Daye City, Xifanli, Permian System, Liangshan Formation - Dalong Formation: Real section of the geological layers (Figure 2-16) not visible top Dalong Formation (P3d): 27. Gray and black hydromica claystone interbedded gray siliceous shale."
第一章绪论一、交通、位置1:25万阳春县幅调查区地处粤西云开大山腹地（经纬度见表1-1），北倚西江，西接广西，东邻珠三角，南连阳江市。,"Traffic and Location: The 1:250,000 Yangchun County Survey Area is located in the mountainous interior of the Yunkai Mountains in western Guangdong, Guangxi Zhuang Autonomous Region (longitude and latitude data listed in Table 1-1). It is northward along the Xijiang River, adjacent to Guangxi to the west, bordered by the Pearl River Delta to the east, and connected to Yangjiang City to the south."
⒈剖面描述夏里组露头相对较好外，雀莫错组、布曲组大部分被覆盖，露头极差。,"1. Depth description: Xiali Formation has relatively good exposure, while Qiemocuo Formation and Baqoin Formation are mostly covered with poor exposure."
⑵矿点地质矿区北部出露地层为晚三叠世结扎群甲丕拉组（T3jp）和燕山期侵入岩。,(2) The outted geological layers in the northern part of the mine area belong to the Late Triassic Jiezha Group Jiapila Formation (T3jp) and the intrusogenic rocks of the Yanshanian.
1．吴川—四会断裂带（1）地貌上见断层三角面，卫照上线性构造清晰，主要表现为山脊被切断或错开、直线状沟谷。,"1. Geologically, the outcrop of the fault triangle is observed in Wuchuan-Sihui fault zone (1). Distinct linear structures are observed along the satellite imagery, with the main features being the disruption or misalignment of mountain ridges and linear gullies."
石英粉砂呈不规则粒状；胶结物已全部变成了鳞片状绿泥石，不均匀定向分布；微量矿物白钛石呈土状，不均匀散布。,The quartz silt is irregularly nodular; the matrix has been entirely transformed into scaly chlorite with non-uniform and directed distribution; the trace mineral leucoxene is in an earthy form and non-uniformly dispersed.
钙质多已结晶成微晶方解石，并定向分布；炭质呈尘状，稍有聚集，不均匀定向分布；石英粉砂次圆状，星散分布；铁质呈隐晶土状。,"Calcareous material has crystallized into microscopic calcite crystals and is directionally distributed; Carbonaceous material is dust-like, slightly aggregated, and unevenly directionally distributed; Subrounded quartz silt is starved distributed; Ferruginous material is cryptocrystalline earthy form."
3、大寺组中含有较为丰富的含钾岩石、珍珠岩、膨润土及沸石矿等非金属矿产。,"3. The Dasi Formation contains relatively rich potassium-rich rock, perlite, bentonite, and zeolite, among other non-metallic mineral resources."
岩石具粒状变晶结构，定向构造或块状构造，由普通辉石（38~65%）、橄榄石（15~25%）、角闪石（10%）、黑云母（10~25%）组成，部分橄榄石、辉石蚀变为石棉、滑石等。,"The rock exhibits a granoblastic texture, oriented structure, or block structure, consisting of augite (38–65%), olivine (15–25%), hornblende (10%), and biotite (10–25%). A portion of olivine and pyroxene is transfused into asbestos and talc, respectively."
矿层赋存于早白垩世大寺组第四亚旋回底部火山碎屑岩中，主矿体一个，断续出露长约1200米，宽110-270米，厚度3.29－6.40米，倾角21-24°，埋深0-65米，形态为似层状矿体。,"The mineralization occurs within the pyroclastic rocks of the fourth sub-cycle bottom of the Dasi Formation in the Early Cretaceous. A single primary mineralization is present, with an intermittent exposure of approximately 1200 meters in length, a width of 110–270 meters, a thickness of 3.29–6.40 meters, an inclination of 21°–24°, and a depth of 0–65 meters. The morphology is that of apparent tabular mineralized bodies."
进一步研究其岩石特征、变质机理和同位素测年，必将揭示粤西地区的基底结构特征及其大地构造属性。,"Further investigation of its rock characteristics, metamorphic processes, and isotopic dating will inevitably reveal the base structure characteristics and geological construction properties of the Guizhou region."
志留纪时华夏板块与扬子板块之间的洋壳逐渐闭合、碰撞，地壳迅速隆升，地层褶皱，伴随着绿片岩相区域变质作用。,"At the Silurian period, the lithosphere between the Cathaysian Block and the Yangtze crustal block begins to close up and collide, leading to rapid rise of the lithosphere, folding of strata, and associated greenschist facies metamorphism."
③方解石化（碳酸盐化）：在该区相对较弱，成他形粒状、半自形粒状，充填交代于火山岩的角砾与碎屑间，粒度为0.01-0.6mm。,"③ Calcitization (carbonatization): In the region, it is relatively weak, as xenomorphic granular and hypidiomorphic granular, filling and replacing between the breccia and clastic particles of the volcanic rock, with grain sizes of 0.01-0.6 mm."
一、岩石地层1．栖霞组（P1q）原名“栖霞灰岩”，为德人李希霍芬（1912）创名于江苏南京市栖霞山。,"I. Lithostratigraphy   1.    P1q (Qixia Formation) was originally named ""Qixia Limestone"" by the German geologist Ferdinand von Richthofen in 1912 at the Qixia Hill in Nanjing, Jiangsu Province, China."
⑵格仁火山岩（Tchav）主要分布在测区查涌一带的格仁、康巴让赛、日阿日曲一带火山岩岩组分布于查涌曲一带。,"(2) Geren Volcanic Rocks (Tchav) primarily located along the Chayong area in the field section, distributed across Geren, Kangbarangrai, and Riariqu areas. The volcanic formation associated with Tchav is distributed along the Chayongqu area."
该类岩脉与纳巴乃嘎闪长玢岩岩性类似，又处于一个带上，故二者系同源产物，时代为早白垩世。,"A certain type of rock formation is similar to the Nabanai'ga diorite porphyry and is found within a certain band. Therefore, they are products of the same magmatic source, and the geological age is the Early Cretaceous."
行政区划涉及2省7市（地）15县（市），行政区划主要属广东省阳江、云浮和茂名地区。,"The administrative divisions involve 2 provinces, 7 cities (or cities and towns) and 15 counties (or cities), with the administrative divisions primarily located in the Yangjiang, Yunfu, and Maoming regions of Guangdong Province."
韧性剪切带内韧性变形构造群落发育，特征明显，变质矿物共生组合表明变质作用程度达高绿片岩相。,"Ductile shear zones host well-developed ductile deformation structures with clearly developed characteristics, and coexisting metamorphic mineral assemblages indicate the metamorphic grade as upper greenschist facies."
